article_id,title,journal,abstract_present,topics,methods,data_sources,uncertainty,best_profile,best_overall,evidence,my_judgement_相关吗,my_notes
20178,Mismatch in Preferences for Working from Home: Evidence from Discrete Choice Experiments with Workers and Employers,Industrial and Labor Relations Review,True,remote work; hybrid work; preference mismatch; discrete choice experiment,discrete choice experiment; survey,survey,False,wfh_rto,83.4,"workers’ and employers’ preferences for remote work, distinguishing between hybrid and fully remote arrangements | a shared preference for hybrid over fully remote work",,
70701,Downsizing and surviving employees' engagement and strain: The role of job resources and job demands,Human Resource Management,True,downsizing; surviving employees; employee engagement; employee strain; job demands-resources theory,survey,survey,False,employee_wellbeing,82.4,job demands mediate the negative relationship between downsizing and employees' psychological and physical health | job resources mediate the negative relationship between downsizing and engagement,,
39651,"Artificial intelligence, machine learning, and big data: Improvements to the science of people at work and applications ",Personnel Psychology,True,artificial intelligence; machine learning; big data; people at work; organizational research,AI/ML; big data techniques,big data,False,ai_in_organizations,86.0,"artificial intelligence (AI), machine learning (ML), and big data techniques are being vigorously explored as a set of modern‐day approaches contributing to a multidisciplinary science of people at work | improving theory and knowledge, construct measurements, and predicting real‐world outcomes",,
91530,Incorporating Job Demand Variability Into Job Demands Theory: A Meta-Analysis,Journal of Management,True,job demands; job demand variability; employee strain; engagement,meta-analysis; meta-analytic path analysis; experience sampling methodology; simulation study,experience sampling methodology studies,False,employee_wellbeing,80.9,job demand variability moderates the between-person effects of overall job demand levels on employee strain and engagement | the between-person effects of challenge (on strain and engagement) and hindrance demands (on engagement only) are stronger in studies where those demands have higher levels of,,
58205,"Crafting Well-Being: Employees Can Enhance Their Own Well-Being by Savoring, Reflecting upon, and Capitalizing on Positi",Annual Review of Organizational Psychology and Organizational Behavior,True,employee well-being; positive work experiences; savoring; interpersonal capitalization,review,,False,employee_wellbeing,87.7,"how employees can amplify the beneficial effects of work on well-being by savoring and reflecting upon positive events and experiences from work, and by capitalizing on them via interpersonal means | how using these strategies can build additional resources, fulfill employees’ basic psychological ne",,
98449,Sociotechnical Envelopment of Artificial Intelligence: An Approach to Organizational Deployment of Inscrutable Artificia,Journal of the Association for Information Systems,True,AI implementation; inscrutable AI; sociotechnical envelopment,exploratory case study,case study interviews; organizational documents,False,ai_in_organizations,80.8,"The paper presents an approach for implementing inscrutable (i.e., nonexplainable) artificial intelligence (AI) such as neural networks in an accountable and safe manner in organizational settings. | Drawing on an exploratory case study and the recently proposed concept of envelopment, it describes ",,
7016,The Acceleration of Artificial Intelligence: Rethinking Organization and Work in an Era of Rapid Technological Change,Journal of Management Studies,True,artificial intelligence; organizational change; technological change,,,False,ai_in_organizations,58.3,"predictive, generative, agentic, and embodied systems rely on different logics and produce distinct organizational outcomes | different modes of AI reshape core organizational constructs, including expertise, judgement, coordination, authority, and institutional adaptation",,
19852,Problematizing the role of artificial intelligence in hiring and organizational inequalities: A multidisciplinary review,Human Relations,True,artificial intelligence in hiring; algorithmic hiring; organizational inequalities,hybrid review (scoping and problematizing),,False,ai_in_organizations,75.4,"What are the implications of the growing use of artificial intelligence (AI) in recruitment and hiring for organizational inequalities? | Building on Acker’s (2006) framework of ‘inequality regimes’, we propose the concept of algorithmically-mediated inequality regimes to highlight AI’s capacity for",,
70906,Organisational voice and employee‐focused voice: Two distinct voice forms and their effects on burnout and innovative be,Human Resource Management Journal,True,employee voice; burnout; innovative behavior,survey; exploratory factor analysis; confirmatory factor analysis,YouGov national online survey,False,employee_wellbeing,82.7,organisational voice is associated with significantly higher innovative behaviour and higher levels of burnout | employee-focused voice is significantly and negatively associated with employee burnout,,
70456,Job demands and burnout: The multilevel boundary conditions of collective trust and competitive pressure,Human Relations,True,job demands; burnout; collective trust; competitive pressure; multilevel analysis,survey; multilevel analysis,survey,False,employee_wellbeing,91.3,"the three-way interaction of individual-level job demands with unit-level collective trust depends on the magnitude of competitive pressure at the organizational level | In a condition of low organizational-level competitive pressure, unit-level trust can mitigate the positive effect of individual j",,
9049,The Role of Human Managers within Algorithmic Performance Management Systems: A Process Model of Employee Trust in Manag,Academy of Management Review,True,algorithmic performance management; employee trust; managerial reflexivity,theoretical development; process model,,False,algorithmic_management,64.6,"the role of human managers within algorithmically managed workplaces remains undertheorized | managers may fill two roles, as translators and augmenters of algorithms",,
9043,Combining Human and Artificial Intelligence: Hybrid Problem-Solving in Organizations,Academy of Management Review,True,human-AI collaboration; hybrid problem-solving; organizational search,theoretical model,,False,ai_in_organizations,61.5,autonomous search generates more distant solutions | sequential search enables more local solutions,,
32143,"Well‐Being as Having, Loving, Doing, and Being: An Integrative Organizing Framework for Employee Well‐Being",Journal of Organizational Behavior,True,employee well-being; well-being framework; self-determination theory,theoretical review,,False,employee_wellbeing,68.7,Employee well‐being is one of the most studied outcomes in organizational research | I distinguish functional well‐being from perceived well‐being,,
5707,Legacy imprints and categorisation shifts: How interpretations of job demands and resources change in abrupt transitions,Human Relations,True,virtual work; job demands and resources; abrupt transitions; categorisation shifts,qualitative interviews,interviews,False,wfh_rto,83.6,people carry legacy imprints : expectations from face-to-face settings that shape how they initially classify job features as demands or resources | When lived experience in the virtual context contradicts these expectations (e.g. online social gatherings feel exhausting; proximity to family while w,,
20774,Artificial intelligence at work: A phenomenon-based interdisciplinary review and groundwork for multilevel scholarship,Information & Management,True,artificial intelligence at work; interdisciplinary review; multilevel scholarship,systematic literature review,published research articles,False,ai_in_organizations,72.2,application-orientation research was the most likely to either define AI’s capabilities concretely or to situate their assessments within a specific function or industry | generalized-orientation research was less likely to reference AI’s concrete capabilities or situate their analyses in a specific,,
31984,Examining the implications of work–nonwork demand congruence,Journal of Occupational and Organizational Psychology,True,work-nonwork demand congruence; cognitive demands; work engagement,survey; polynomial regression; response surface analysis,survey,False,employee_wellbeing,85.1,"higher cognitive workweek job demands promoted work engagement, even when nonwork cognitive demands were equally high | Cognitive demand incongruence that favoured higher cognitive work demands was also beneficial for employee work engagement",,
49146,"Distinguishing Voice and Silence at Work: Unique Relationships with Perceived Impact, Psychological Safety, and Burnout",Academy of Management Journal,True,voice; silence; burnout,meta-analysis; panel study,meta-analytic data; survey,False,employee_wellbeing,74.2,voice and silence are independent (Mρ = −.15) | perceived impact (psychological safety) relates more strongly to voice (silence) than to silence (voice),,
96637,Augmenting the algorithm: Emerging human-in-the-loop work configurations,The Journal of Strategic Information Systems,True,human-in-the-loop; AI adoption; algorithmic work configurations,case study,case study interviews and observations,False,ai_in_organizations,78.4,"How do configurations of humans and algorithms evolve as firms adopt artificial intelligence (AI) capabilities, and what are the implications for work and organization? | We explored these questions through a two-year long case study of an organization in the international maritime trade that introd",,
30753,Socioeconomic Status and Employee Well-Being: An Intersectional and Resource-Based View of Health Inequalities at Work,Journal of Management,True,socioeconomic status; employee well-being; health inequalities; job demands and resources,review,,False,employee_wellbeing,84.9,Socioeconomic status (SES)—one’s objective economic and social standing—has the potential to yield critical implications for employee well-being. | we draw on resource-based theories to develop an organizing framework for reviewing and synthesizing the vast literature on this topic,,
31078,Artificial Intelligence as an Organizing Capability Arising from Human‐Algorithm Relations,Journal of Management Studies,True,artificial intelligence; organizing capability; human-algorithm relations,,,False,ai_in_organizations,61.1,we propose an ontological shift in conceptualizing AI | AI arises from the relations among human and algorithmic actors as an organizing capability,,
70685,The double‐edged sword of job crafting: The effects of job crafting on changes in job demands and employee well‐being,Human Resource Management,True,job crafting; work design; employee well-being,survey; two-wave panel,survey,False,employee_wellbeing,83.1,approach type of job crafting was related to increases in work engagement via increased job complexity | approach crafting was also associated with increases in burnout via increased workload,,
20911,"Unpacking AI at work: Data work, knowledge work, and values work",Information and Organization,True,AI at work; data work; knowledge work; values work; algorithmic shaping of work,qualitative; conceptual,,False,ai_in_organizations,64.8,"this study foregrounds three types of work that gain renewed significance in the context of AI: data work, knowledge work, and values work | how algorithms are shaped by, and in turn, shape everyday work practices",,
72135,Informalization in gig food delivery in the <scp>UK</scp>: The case of hyper‐flexible and precarious work,Industrial Relations A Journal of Economy and Society,True,informalization; gig food delivery; platform labor; precarious work,qualitative,interview,False,algorithmic_management,73.3,what drives individual formal couriers to both supply and demand informalized sub‐contracted gig work to undocumented migrants | how a platform company enables informal work practices through permissive HR practices and technology,,
72190,Motivational Drivers of Extensive Work Effort: Are Long Hours Always Detrimental to Well‐being?,Industrial Relations A Journal of Economy and Society,True,extensive work effort; well-being; motivation,survey,survey,False,employee_wellbeing,83.1,"extrinsically driven work effort is negatively related to well‐being, while intrinsically driven work effort is positively related to well‐being | intrinsically driven work effort has both a direct and an indirect link to well‐being, mitigating the downsides of extrinsically driven work effort",,
21824,High-performance work systems in job demands-resources theory: Implications for employee burnout and quality of life,International Journal of Hospitality Management,True,high-performance work systems; employee burnout; quality of life; job demands-resources theory,survey; PLS-SEM,survey,False,employee_wellbeing,83.4,"HPWS were negatively associated with employee burnout, both directly and indirectly, through the reduction of challenge and hindrance job demands. | there is a positive relationship between HPWS and employee QoL.",,
133256,Argument Mining for Organizational Research: A Computer-Aided Analysis of Organizational Talk,Organizational Research Methods,True,argument mining; organizational talk; legitimacy; communicative acts,argument mining; aspect-based argument mining; longitudinal case study,Twitter debates,False,digital_trace_methods,71.5,"Argument mining—the automatic identification, classification, and linking of argumentative text—has been studied in natural language processing (NLP) for more than a decade. | This article introduces aspect-based argument mining (ABAM) as a methodical innovation for studying how organizations justif",,
36614,The sum is larger than its parts: The daily interplay of leader and colleague support in facilitating employee well-bein,Journal of Vocational Behavior,True,leader support; colleague support; employee well-being; balanced needs satisfaction; positive affect,diary study; Latent Profile Analysis,survey,False,employee_wellbeing,88.3,joint leader and colleague support are indirectly related to home-domain subjective vitality via the balanced satisfaction of the basic psychological needs and positive affect,,
49618,Artificial Intelligence and Management: The Automation–Augmentation Paradox,Academy of Management Review,True,artificial intelligence; automation; augmentation; paradox theory,conceptual,,False,ai_in_organizations,63.0,"automation implies that machines take over a human task, augmentation means that humans collaborate closely with machines to perform a task | augmentation cannot be neatly separated from automation",,
5051,Natural Language Processing and Innovation Research,Annual Review of Economics,True,innovation measurement; natural language processing; text analysis,natural language processing; text analysis,textual artifacts,False,digital_trace_methods,78.8,"Recent advancements in natural language processing offer new methods to analyze textual artifacts, providing empirical insights into previously hard-to-measure aspects of innovation.",,
12906,Electronic Monitoring at Work,Annual Review of Organizational Psychology and Organizational Behavior,True,electronic monitoring; employee surveillance; workplace monitoring,meta-analysis; literature review,,False,employee_wellbeing,58.0,the overall impact of monitoring on performance appears neutral | a small positive correlation can be observed with strain,,
58184,Laying the Foundation for the Challenge–Hindrance Stressor Framework 2.0,Annual Review of Organizational Psychology and Organizational Behavior,True,challenge-hindrance stressor framework; workplace stress; job demands,review,,False,employee_wellbeing,80.1,"the Challenge–Hindrance Stressor Framework (CHSF) proposes that, although job demands that constrain, hinder, or thwart personal growth and achievement (hindrance stressors) have negative effects on work-related outcomes, job demands that provide the potential for personal growth and achievement (ch",,
2480,Is Job Embeddedness a Resource? Revisiting the Relationship of Job Embeddedness and Employee Well‐Being: A Meta‐Analytic,Journal of Organizational Behavior,True,job embeddedness; employee well-being; turnover,meta-analysis; meta-analytic structural equation modeling,meta-analytic dataset of 133 independent samples from 122 studies,False,employee_wellbeing,82.7,job embeddedness was generally positively associated with well‐being such as reduced burnout and increased life satisfaction | organizational embeddedness exerted relatively stronger effects than community embeddedness,,
76956,With great power comes more job demands: The dynamic effects of experienced power on perceived job demands and their dis,Journal of Applied Psychology,True,power; job demands; challenge-hindrance framework,field experiment; experiment,survey,False,employee_wellbeing,66.4,power-induced job demands may simultaneously benefit (manifested as goal progress and meaningfulness) and harm (manifested as physical discomfort and anxiety) powerholders | the relationship between feeling powerful and perceiving one's job to be demanding is stronger for employees higher (vs. lower,,
40099,Artificial Intelligence and Operations: A Foundational Framework of Emerging Research and Practice,Production and Operations Management,True,artificial intelligence in operations; AI for OM; OM for AI; human-AI interaction,,,False,ai_in_organizations,61.5,"AI for OM analyzes how AI enhances core operational processes, including design, procurement, production, and delivery. | OM for AI argues that scaling AI safely and effectively stands to benefit from core OM principles, including workflow design, capacity management, process control, drift detectio",,
58188,How Remote Work Changes the World of Work,Annual Review of Organizational Psychology and Organizational Behavior,True,remote work; distance framework; future of work,literature review,,False,wfh_rto,83.2,"This review develops a framework that refracts the concept of remote work into four types of distance—psychological, temporal, technological, and structural—and three objects from which one can be distant—material resources, social resources, and symbolic resources.",,
70684,Best friend or broken tool? Exploring the co‐existence of humans and artificial intelligence in the workplace ecosystem,Human Resource Management,True,human-AI coexistence; AI sensemaking; AI automation and augmentation,exploratory study; in-depth qualitative,interviews,False,ai_in_organizations,77.0,different organizational groups may engage in distinctly different sensemaking processes regarding AI | AI‐enabled automation and augmentation solutions may not be detached from nor exist in tension with each other,,
3388,"Textual Similarity in Organizational Research: Review of Applications, Consistency of Methods, and Best Practice Recomme",Organizational Research Methods,True,textual similarity; natural language processing; measurement consistency; jingle-jangle fallacy,natural language processing; text analysis; cosine similarity; Euclidean distance; n-grams,,False,digital_trace_methods,55.4,"Different transformer-based embeddings’ similarity results are interchangeable. | n -grams yield distinct, inconsistent results and are less appropriate for estimating similarity with distance measures.",,
9087,A Theory of Strategic Boundary Control for Remote Work,Academy of Management Review,True,remote work; strategic boundary control; HRM systems,theoretical development,,False,wfh_rto,77.0,"The popularity of remote work underscores its importance as a key strategic priority for organizations. | We draw upon boundary control theory and the strategic human resource management (SHRM) perspective to posit that organizations will seek to influence where work occurs, when work occurs, and re",,
12065,Sudhir Kakar (1938–2024).,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
56625,La Luna Como un Garbanzo (The Moon as a Chickpea) by Marcia Salas,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
56938,Global well posedness of the two-dimensional stochastic nonlinear wave equation on an unbounded domain,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
56391,Robert A. Wicklund (1941–2020).,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
12011,Frans B. M. de Waal (1948–2024).,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
11985,Jerry (Jerald) Rudmann (1944–2024).,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
117389,He 'came across as someone who was telling the truth': 'Pell v The Queen',Sydney law review,True,,,,True,ai_in_organizations,0.0,,,
42505,Monetary Policy and Rational Asset Price Bubbles: Comment,American Economic Review,True,monetary policy; rational asset price bubbles,theoretical comment,,False,ai_in_organizations,0.0,"a central bank can always dampen a bubble by setting a higher-than-expected rate, although it may have to raise the rate aggressively",,
39729,"McKean–Vlasov stochastic partial differential equations: existence, uniqueness and propagation of chaos",Probability Theory and Related Fields,True,,,,True,ai_in_organizations,0.0,,,
56261,Mythical Bridge by Jimmy Perron,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
4958,Jazz It Up by Bernie Houston,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
39738,Nonlinear Fokker–Planck equations with fractional Laplacian and McKean–Vlasov SDEs with Lévy noise,Probability Theory and Related Fields,True,,,,True,ai_in_organizations,0.0,,,
56390,Leslie Rescorla (1945–2020).,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
12096,Rocky Mountain Sunflowers by Jan Bushart,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
56882,On strong solutions of Itô’s equations with σ∈Wd1 and b∈Ld,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
60438,Al servizio dell’Italia e del Papa. Le tante vite di Bernardino Nogara,Business History,True,,,,True,ai_in_organizations,0.0,,,
132002,Spatial pattern of Olympic medals,Environment and Planning B Urban Analytics and City Science,True,Olympic medals spatial pattern; sports geography,cartographic mapping,Olympic medal data,True,digital_trace_methods,2.4,"I created my map, on which I depicted the countries of the world in terms of their medals won at the Summer and Winter Olympics.",,
60593,"CONSENT IN RAPE: FACT, NOT LAW",The Cambridge Law Journal,True,,,,True,ai_in_organizations,0.0,,,
39847,Almost sure convergence of Liouville first passage percolation,Probability Theory and Related Fields,True,,,,True,ai_in_organizations,0.0,,,
68267,Why Does the Common Law Conform to the Constitution?,Federal Law Review,True,common law and constitution; judicial power; constitutional supremacy,legal analysis,case law; scholarly commentary,False,ai_in_organizations,0.0,"the common law must conform to the Constitution | the Constitution constrains all uses of judicial power, not just those that are considered to be ‘state action’",,
56238,Ronald Melzack (1929–2019).,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
54216,"Shiga Toxin–Producing <i>Escherichia coli</i> (STEC) O157:H7 and Romaine Lettuce: Source Labeling, Prevention, and Busin",American Journal of Public Health,True,food safety; outbreak investigation; source labeling; food supply chain,publicly available data analysis; market data analysis,publicly available data; market data,False,ai_in_organizations,0.0,We used publicly available data to show that labels may not avert many illnesses in future outbreaks but may reduce suppliers’ financial losses and reduce food loss. | Market data available during both 2018 outbreak investigations showed that there was no romaine production from one of the 2 regions,,
115930,The Travels of Treason,Modern Law Review,True,,,,True,ai_in_organizations,0.0,,,
12262,Singular kinetic equations and applications,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
69047,“I AM A Child!”: A Girl-Child’s Truth and The Lies of Law Enforcement,Gender & Society,True,police violence; racialized childhood; abolitionist imaginings,essay,incident report; public discourse,False,ai_in_organizations,0.0,“I AM a child!” | the truth embedded in this girl’s call exposes the lies of law enforcement,,
4927,Bernard Spilka (1926–2025).,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
57018,The disordered lattice free field pinning model approaching criticality,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
11977,Travis I. Thompson (1937–2023).,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
14382,INHERENT ILLEGALITY: ISRAEL’S PRESENCE IN OCCUPIED PALESTINIAN TERRITORY VIOLATES FUNDAMENTAL RULES OF INTERNATIONAL LAW,The Cambridge Law Journal,True,,,,True,ai_in_organizations,0.0,,,
56855,Almost-sure exponential mixing of passive scalars by the stochastic Navier–Stokes equations,The Annals of Probability,True,stochastic Navier-Stokes equations; passive scalar mixing; exponential mixing; Lagrangian flow,mathematical analysis; stochastic processes,,False,ai_in_organizations,0.0,We deduce almost-sure exponentially fast mixing of passive scalars advected by solutions of the stochastically-forced 2D Navier–Stokes equations and 3D hyper-viscous Navier–Stokes equations,,
56999,Limit theorems for additive functionals of the fractional Brownian motion,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
60616,HOMICIDE: <i>NOVUS ACTUS INTERVENIENS</i>,The Cambridge Law Journal,True,,,,True,ai_in_organizations,0.0,,,
12269,Solutions to the stochastic heat equation with polynomially growing multiplicative noise do not explode in the critical ,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
12316,Fractional diffusion limit for a kinetic Fokker–Planck equation with diffusive boundary conditions in the half-line,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
56321,Zella Luria (1924–2018).,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
56907,On strong solutions of Itô’s equations with Dσ and b in Morrey classes containing Ld,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
54158,The Dangers of White Supremacy: Nazi Sterilization and Its Mixed-Race Adolescent Victims,American Journal of Public Health,True,Nazi sterilization; mixed-race adolescents; white supremacy; public health history,historical analysis,public interviews; historical records,False,ai_in_organizations,0.0,Mixed-race African German and Vietnamese German children were born around 1921 | forcibly sterilized in 1937,,
56234,Olivia Juliette Hooker (1915–2018).,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
106404,Organizing for Dignity,Organization Studies,True,refugee camps; dignity; organizing,qualitative; ethnography,interview,False,ai_in_organizations,0.0,"Like thousands of other Rohingyas, Aman (pseudonym) had to flee for his life | Many of them still sustain traumas from those days",,
56941,The two-dimensional continuum random field Ising model,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
56993,Convergence in law for complex Gaussian multiplicative chaos in phase III,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
54197,Denial of Abortion Because of Provider Gestational Age Limits in the United States,American Journal of Public Health,True,abortion denial; gestational age limits; reproductive health,,,True,ai_in_organizations,0.0,Denial of Abortion Because of Provider Gestational Age Limits in the United States,,
54452,Hennepin County Adult Detention Center’s Response to a 2019 Hepatitis A Outbreak in Minnesota,American Journal of Public Health,True,hepatitis A outbreak response; vaccination protocols in jails; public health interventions,case study,administrative records,False,ai_in_organizations,0.0,increased vaccination rates from 0.6% to 7.1% among detainees,,
54824,Typhoid Mary Was Not a Super-Spreader (and Super-Spreaders Are Not “Typhoid Marys”),American Journal of Public Health,True,,,,True,ai_in_organizations,0.0,,,
56879,Normal fluctuation in quantum ergodicity for Wigner matrices,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
110034,Outcaste Bombay: City making and the politics of the poor,Regional Studies,True,,,,True,ai_in_organizations,0.0,,,
4973,Large deviations for 2D Navier–Stokes equations driven by a periodic force and a degenerate noise,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
12071,Ruth Hall (1948–2023).,American Psychologist,True,,,,True,ai_in_organizations,0.0,,,
57012,The maximal flow from a compact convex subset to infinity in first passage percolation on $\mathbb{Z}^{d}$,The Annals of Probability,True,,,,True,ai_in_organizations,0.0,,,
39711,Instantaneous everywhere-blowup of parabolic SPDEs,Probability Theory and Related Fields,True,,,,True,ai_in_organizations,0.0,,,
30134,Accounting for Intergenerational Educational Immobility in Low- and Middle-Income Countries,The Journal of Human Resources,True,intergenerational educational immobility; developing countries; child labor; teenage family formation,latent factor analysis; decomposition analysis,longitudinal survey data,False,ai_in_organizations,0.0,"This study investigates intergenerational educational immobility and its transmission channels in four developing countries: Ethiopia, India, Peru, and Vietnam. | The findings show that relevant channels in developed countries are also important in these developing countries.",,
29568,Green-adjusted share prices: A comparison between standard investors and investors with green preferences,Journal of Financial Stability,True,green finance; green-adjusted share prices; asset pricing; investor preferences,comparison; beta computation; Fama-French factor analysis,FTSE Russell 1000 Green Revenues index,False,ai_in_organizations,0.0,Our findings suggest that tilting of firm stock returns towards green finance could change temporarily asset pricing views. | there are some significant differences between standard and green-adjusted betas during periods associated with green activism and positive political decisions of financially,,
91589,"Geographic Distance and State's Grip: Information Asymmetry, State Inattention, and Firm Implementation of State Policy",Journal of Management,True,geographic distance; state capacity; policy implementation; environmental activities; information asymmetry,panel data analysis; moderation analysis,Chinese public firms data; environmental activities data,False,ai_in_organizations,20.0,geographic distance between the state and local governments undermines the state's capacity to influence the implementation of state policies by local organizations | physical distance reduces the state's monitoring effectiveness through two interrelated mechanisms: information asymmetry and state l,,
50519,"Defining crash configurations for Powered Two-Wheelers: Comparing ISO 13232 to recent in-depth crash data from Germany, ",Accident Analysis & Prevention,True,motorcycle crash configurations; ISO 13232 standard relevance; powered two-wheeler safety,in-depth crash data analysis; comparative analysis,"in-depth crash data from Germany, India, China",False,ai_in_organizations,0.0,"the ISO crash configurations do not represent the most frequent PTW road crashes in Germany, India or China | the observed differences between countries imply that a single global standard may not be feasible",,
73717,CHILD SOLDIERS AND PEACE AGREEMENTS,International and Comparative Law Quarterly,True,child soldiers; peace agreements; post-conflict reintegration; accountability,content analysis,peace agreements,False,digital_trace_methods,5.6,"Drawing on all references to child soldiers in 77 peace agreements signed between 1990 and 2022, this article examines the ways in which peace agreements address the issue of child soldiers.",,
